"team","venue","games","wins","losses","win_rate","avg_runs_scored","avg_runs_allowed","avg_run_diff","total_runs_scored","total_runs_allowed"
"中信兄弟","away",60,37,23,0.616666666666667,4.81666666666667,3.96666666666667,0.85,289,238
"中信兄弟","home",60,33,27,0.55,4.53333333333333,4.2,0.333333333333333,272,252
"台鋼雄鷹","away",60,20,40,0.333333333333333,3.83333333333333,4.76666666666667,-0.933333333333333,230,286
"台鋼雄鷹","home",60,29,31,0.483333333333333,4.33333333333333,4.93333333333333,-0.6,260,296
"味全龍","away",60,28,32,0.466666666666667,4.05,3.93333333333333,0.116666666666667,243,236
"味全龍","home",60,30,30,0.5,3.56666666666667,3.6,-0.0333333333333333,214,216
"富邦悍將","away",60,26,34,0.433333333333333,3.86666666666667,4,-0.133333333333333,232,240
"富邦悍將","home",60,28,32,0.466666666666667,3.63333333333333,4.31666666666667,-0.683333333333333,218,259
"樂天桃猿","away",60,29,31,0.483333333333333,3.78333333333333,4.36666666666667,-0.583333333333333,227,262
"樂天桃猿","home",60,33,27,0.55,4.43333333333333,4.41666666666667,0.0166666666666667,266,265
"統一7-ELEVEn獅","away",60,31,29,0.516666666666667,5.03333333333333,3.83333333333333,1.2,302,230
"統一7-ELEVEn獅","home",60,36,24,0.6,4.36666666666667,3.91666666666667,0.45,262,235
